,Date,Open,High,Low,Close,Adj Close,Volume,openUp,openDown,gapUp,gapDown,future_mv,future_cat
10193,2011-06-28,2694.26001,2729.939941,2692.449951,2729.310059,2729.310059,1682590000,1,0,0,0,0.004096248047426452,5
10194,2011-06-29,2736.76001,2746.620117,2722.26001,2740.48999,2740.48999,1804490000,1,0,1,0,0.012052600126446694,7
10195,2011-06-30,2749.370117,2776.560059,2749.110107,2773.52002,2773.52002,1859130000,1,0,1,0,0.015327096503164985,7
10196,2011-07-01,2775.080078,2818.189941,2769.060059,2816.030029,2816.030029,1646380000,1,0,0,0,0.0034587667388826407,5
10197,2011-07-05,2817.870117,2828.530029,2810.0,2825.77002,2825.77002,1556620000,1,0,0,0,0.002919558188249163,5
10198,2011-07-06,2821.419922,2838.850098,2812.800049,2834.02002,2834.02002,1639490000,0,1,0,0,0.013634304531130358,7
10199,2011-07-07,2856.25,2878.939941,2853.899902,2872.659912,2872.659912,1873710000,1,0,1,0,-0.004473154983060231,4
10200,2011-07-08,2841.290039,2860.02002,2831.159912,2859.810059,2859.810059,1612120000,0,1,0,1,-0.019997811330168477,2
10201,2011-07-11,2828.100098,2841.120117,2795.540039,2802.620117,2802.620117,1765920000,0,1,0,1,-0.007389586934874578,4
10202,2011-07-12,2798.75,2807.570068,2780.159912,2781.909912,2781.909912,2015410000,0,1,0,0,0.005395577310125335,5
10203,2011-07-13,2800.879883,2825.860107,2789.570068,2796.919922,2796.919922,1885510000,1,0,0,0,-0.012245613372980937,2
10204,2011-07-14,2804.820068,2817.379883,2755.899902,2762.669922,2762.669922,1946500000,1,0,0,0,0.009820256406295323,5
10205,2011-07-15,2787.330078,2790.159912,2768.280029,2789.800049,2789.800049,1804380000,1,0,0,0,-0.008850075835667883,4
10206,2011-07-18,2777.610107,2783.76001,2743.790039,2765.110107,2765.110107,1752220000,0,1,0,0,0.022208849059767284,8
10207,2011-07-19,2790.97998,2828.649902,2790.97998,2826.52002,2826.52002,1882760000,1,0,1,0,-0.004348117088517867,4
10208,2011-07-20,2839.389893,2839.649902,2808.179932,2814.22998,2814.22998,1863670000,1,0,1,0,0.00717779006817344,5
10209,2011-07-21,2818.790039,2847.409912,2807.709961,2834.429932,2834.429932,2284150000,1,0,0,0,0.008608484452033351,5
10210,2011-07-22,2834.459961,2862.719971,2830.580078,2858.830078,2858.830078,1665220000,1,0,0,0,-0.005607198945945893,4
10211,2011-07-25,2832.110107,2859.399902,2828.909912,2842.800049,2842.800049,1613240000,0,1,0,0,-0.0009990459937549844,4
